Item Name,Dist. SKU,Brand,Pack,Size,Unit Type,Cases,Cost per Case
DONUT PLN IW TFF,936866,MUFFIN TOWN,80 ,2.25 OZ,CS,7 ,$21.38
SWEETENER PACKET BULK CARTON,395209,SPLENDA,1 ,2000 CT,CS,7 ,$34.12
YOGURT STRWBRY FOB LF,567092,DANNON YOGURT,12 ,5.3 OZ,CS,7 ,$10.65
AGAVE BLUE 100% RAW ORGANIC,578254,BORN SWEET,6 ,11.75 OZ,CS,6 ,$19.52
CEREAL COCOA PUFF BULK TFF,52466,GENERAL MILLS,4 ,35 OZ,CS,6 ,$47.11
CEREAL GRANOLA HONEY OAT GF,395803,GRANDYOATS,5 ,32 OZ,CS,6 ,$59.38
CHIP POTATO KETTLE ORGNL SLTD,579999,CAPE COD,56 ,1.5 OZ,CS,6 ,$22.44
FORK HW WHI PS,255974,DIXIE,1 ,1000 CT,CS,6 ,$31.25
OIL OLIVE EXTRA VIRGIN,233299,PIANCONE,12 ,500 ML,CS,6 ,$82.30
CANDY MILK CHOC PCS PLN,614371,M&MS,6 ,38 OZ,CS,5 ,$59.75
CEREAL CRNCH GO LEAN,253405,KASHI,4 ,50 OZ,CS,5 ,$63.69
SUGAR TURBINADO RAW PACKET TFF,989097,SUGAR IN THE RW,1200 ,4.5 GM,CS,4 ,$27.13
APPLE MACINTOSH,950472,LOCAL GROWER,1 ,120 CT,CS,3 ,$26.36
CEREAL CHEERIOS BULK TFF,28699,GENERAL MILLS,4 ,29 OZ,CS,3 ,$38.45
CHIP POTATO KETTLE ORGNL SLTD,271960,DEEP RIVER SNACKS,80 ,1 OZ,CS,3 ,$30.12
CHIP POTATO KETTLE ROSEMARY,271970,DEEP RIVER SNACKS,80 ,1 OZ,CS,3 ,$29.80
CHIP POTATO KETTLE SWEET MAUI,271961,DEEP RIVER SNACKS,80 ,1 OZ,CS,3 ,$30.12
CIDER APPLE NEW ENGLAND,949821,PACKER,4 ,1 GA,CS,3 ,$28.55
CIDER APPLE NEW ENGLAND,962718,PACKER,9 ,.5 GA,CS,3 ,$34.39
CUP TP16D PLAS 16OZ RPET CLR,409910,SOLO CUP,20 ,50 CT,CS,3 ,$69.09
OATS QUICK HEARTY TRADITION TFF,975860,MALT-O-MEAL,12 ,42 OZ,CS,3 ,$30.12
SAUCE SOY GLASS BOTTLE TFF,34444,KIKKOMAN,12 ,5 OZ,CS,3 ,$13.74
APPLESAUCE CINNAMON CUP,911726,MUSSELMAN,72 ,4 OZ,CS,2 ,$33.03
CEREAL BRAN FLAKES BULK PACK,968372,KELLOGGS,4 ,43 OZ,CS,2 ,$48.58
CEREAL CORN FLAKES BULK PACK,28453,KELLOGGS,4 ,26 OZ,CS,2 ,$26.44
CHIP MLT-GRN ORGNL LSS,229983,SUNCHIPS,64 ,1.5 OZ,CS,2 ,$30.57
DRESSING RANCH FF GF TFF POUCH,27814,KENS,60 ,1.5 OZ,CS,2 ,$16.46
MUSTARD DIJON SQUEEZE BOTTLE,26135,GREY POUPON,12 ,10 OZ,CS,2 ,$35.40
RAISIN DARK CHOC,577406,ARCADE SNACKS,1 ,10 LB,CS,2 ,$53.92
SNACK MIX 19 TH HOLE,879070,ARCADE SNACKS,1 ,20 LB,CS,2 ,$68.92
SNACK MIX ALL THE RIGHT STUFF,240958,ARCADE SNACKS,1 ,25 LB,CS,2 ,$76.86
SNACK MIX RACHAELS,233580,ARCADE SNACKS,1 ,14 LB,CS,2 ,$38.15
SPINACH CELLO,328063,PACKER,8 ,8 OZ,CS,2 ,$21.86
SYRUP CUCUMBER CONC,524445,MONIN,4 ,375 ML,CS,2 ,$36.02
SYRUP GINGER CONC,530308,MONIN,4 ,375 ML,CS,2 ,$38.67
SYRUP GRAPEFRUIT CONC,554925,MONIN,4 ,375 ML,CS,2 ,$38.67
TOPPING WHIPPED CREAM AERO,27284,CABOT CREAMERY,12 ,14 OZ,CS,2 ,$37.51
VINEGAR BALSAMIC GLASS BOTTLE,69515,ROLAND,16 ,16.9 OZ,CS,2 ,$60.80
BERRY MIX NUT & SEED CRNCH,301767,ARCADE SNACKS,3 ,6 LB,CS,1 ,$98.83
BREAD CORN MINI LOAF,234375,MUFFIN TOWN,140 ,2 OZ,CS,1 ,$37.73
CANDY MINT EASTER HOLLAND,539216,ARCADE SNACKS,1 ,10 LB,CS,1 ,$62.09
CASHEW SUPER COLOSSAL RSTD SLTD,250515,ARCADE SNACKS,1 ,25 LB,CS,1 ,$257.93
CONC PASSION FRUIT,556147,MONIN,4 ,375 ML,CS,1 ,$38.67
CONC STRWBRY FLVR,555591,MONIN,4 ,375 ML,CS,1 ,$32.07
CRACKER GOLDFISH CHED CHEESE IW,949801,PEPPERIDGE FARM,100 ,.5 OZ,CS,1 ,$16.90
CUP SLEEVE JAVA JACKET PAPER,461242,BAGCRAFT/PAPERCON,1 ,1300 CT,CS,1 ,$59.44
FRUIT SNACK MIXED 2.25 OZ,73774,WELCHS,1 ,48 CT,CS,1 ,$26.43
